,Text,Account Tags,Hashtags,Sentiment,Emotions
18195," Reduce #FossilFuels dependence and create safer local energy supply! #ClimateCrisis!

Please join! twiff All Activists Awesome work!

❤️🇺🇦🇾🇪☮️🌍🌏🌎🌳🌱🌿🌺🌼🏵️🌻🌞🦋

Getting you on the #FridaysForFuture.org/map



#Twiff, 1, EarthDay, Netherlands ","JanineClimate,FFFMapCount","FossilFuels,ClimateCrisis,FridaysForFuture,Twiff,EarthDay",POSITIVE,optimism
18201,"It's Earth Day🌍 and we are very happy to announce the launch of  #PaRx, Canada’s national nature prescription program, now available across the Maritimes. 
For more information or to become a prescriber:  
EarthDay #healthybynature",Uknown,"PaRx,EarthDay,healthybynature",POSITIVE,joy
18228," Clean up the Earth, it's the only home we have. Happy Earth day 🌎🌱♻️.EarthDay22 ",Sally_mosha,EarthDay22,POSITIVE,joy
18230,"This EarthDay, check out the projects that have been growing over at 's Living Labs 👇 EarthDay2022 ",SFU,"EarthDay,EarthDay2022",NEGATIVE,optimism
18234," Our WildCheck report opens the cupboard door on hidden wild ingredients in our homes 🔎🌿

🌍Explore WildCheck to find the wild in your everyday products and learn how you can support their ethical and sustainable supply this EarthDay! #IFoundWild

➡️ ",TRAFFIC_WLTrade,"EarthDay,IFoundWild",POSITIVE,optimism
18235," Happy EarthDay! 🌍
Inspire collective climate action with #MinecraftEdu lessons, worlds and resources on everything from transportation to flood mitigation.

Get started here:  ",PlayCraftLearn,"EarthDay,MinecraftEdu",POSITIVE,joy
18245,"At , #earthday is EVERY DAY. 🌍 The Nicotras’ Bloomfield Conservancy keeps the 415+ acres of Woodland, Wetlands &amp; Developed Land #green and #clean. Take our #GardenPath to  or walk our 2-acre trail around the Corporate Park of #StatenIsland - enjoy! ","NicotraGroup,HGIStatenIsland","earthday,green,clean,GardenPath,StatenIsland",POSITIVE,joy
18246," ""The earth has music for those who listen"" EarthDay 🌎♻️ ",GreenManFest,EarthDay,NEGATIVE,joy
18250,"We are at the crossroads, where what we do now will decide the future of Earth!!
Let's choose green and reclaim the paradise which we are destroying.💚

#SaveSoil EarthDay 
#MyConnectWithSoil ",Uknown,"SaveSoil,EarthDay,MyConnectWithSoil",POSITIVE,optimism
18251," This EarthDay, MacArthur President  on #ClimateJustice, a call to ""collaborate with and learn from Black, Brown, and Indigenous, leaders, which is inextricably linked to how we implement our grantmaking priorities."" 🌎❤️ 

 via ","macfound,jpalfrey,CNNOpinion","EarthDay,ClimateJustice",POSITIVE,optimism
18277," We marked the EarthDay by attending Algonquin and Mohawk Storytelling by Algonquin Artist Simon Brascoupe! 🌱🌎🦁 #ocsbEarth #ocsbKindergarten     
 ","AskariNasim,StAnneOCSB,MrsEgan1,PlantInPrimary,ocsbEco","EarthDay,ocsbEarth,ocsbKindergarten",NEGATIVE,joy
18295," EarthDay
Earth Day is an annual event on April 22 to demonstrate support for environmental protection.Let's celebrate this day together🌳

React with 🌏🌎🌍 ",Smol_Trees,EarthDay,POSITIVE,joy
18300, 🌍 Today is Earth Day! EarthDay2022 ,Wurfi,EarthDay2022,NEGATIVE,joy
18304,"Let's make a change 🌍

On EarthDay we are proud to launch our sustainability strategy for 2022 and beyond

This will include the release of a limited-edition Magic Weekend shirt created with materials that contain 70% recycled plastic  ♻️

Full story 👉  ",Uknown,EarthDay,NEGATIVE,optimism
18330,"Happy Earth Day everyone!

Celebrated annually on April 22, Earth Day is a reminder to protect the environment, restore damaged ecosystems and live a more sustainable life. This year marks its 52nd anniversary.

Feels good to support green companies such as #Klever.io ✅ ",Uknown,Klever,POSITIVE,joy
18342," ㅤㅤㅤ
          
         ﹢ ﹢  #𝐔𝐓𝐎𝐏𝐈𝐀𝐇 🔮ㅤㅤㅤ
          •   𝐑𝐓 𝐭𝐨 𝐂𝐋𝐀𝐈𝐌 ‧₊˚⟡

⠀⠀⠀  Happy Earth Day 2022! 🥳 Preserve mother earth and make it a better place for our children. Enjoy this Matcha Cake, Utopian! 🍃 #UtopiahWonderland
 
ㅤㅤ ",UTOP1AH,UtopiahWonderland,POSITIVE,joy
18343,"happy friday and #earthday everyone! 🌎
let's protect our planet because it's the only one we've got 😅 find out how you can help here 👉  ",Uknown,earthday,NEGATIVE,joy
18344," GM🌸fren🌱
Happy Earthday🐝🌈🌍
What should we do for the Earth and the environment today?

#NFTCommunity

 ",ruria_nft,NFTCommunity,NEGATIVE,joy
18350,"Today, on EarthDay2022, we’re sharing more about our efforts to protect the planet, reduce our carbon footprint, and serve the climate conversation on Twitter. 

We believe that meaningful climate action, and transparency about that work, are critical. 👇
",Uknown,EarthDay2022,POSITIVE,optimism
18356," Every day is EarthDay 🌎when you live in the beautiful state of Utah. From our breathtaking mountains, to our awe-inspiring deserts, I could not feel luckier to call this diverse land home! 

#lesserismore #utpol ",RepLesser,"EarthDay,lesserismore,utpol",POSITIVE,joy
18369,Teamed up w/  to celebrate the planet for Earth Day 🌱 check out my latest mural on 190 N. state st 🌎#planetpossible ,NatGeo,planetpossible,POSITIVE,joy
18377,Don't miss out on the chance to make all of your dreams come true because you were too afraid to star 💫 #TeamMagenta  EarthDay #EarthMonth ,VirtualTalbott,"TeamMagenta,EarthDay,EarthMonth",NEGATIVE,optimism
18381," Gm and Happy EarthDay2022 from Pieland! 🌎

We'll have a couple Earth Day surprises in our Discord 💚  ",PielandNFT,EarthDay2022,POSITIVE,joy
18383," Happy EarthDay! 
We invite everyone to take a moment to think about how they can make the 🌎 &amp; our community a better place.

This year’s website offers fun ways to engage &amp; take action from school and from home. Find ways to get involved!

 ",PPSConnect,EarthDay,POSITIVE,optimism
18387," EarthDay calls for businesses, governments, and citizens to #InvestInOurPlanet. Learn how you can help 🌎  ",jeffreygalvin,"EarthDay,InvestInOurPlanet",NEGATIVE,optimism
18392," Happy Earth Day everyone 🌍💚

We’re on a quest to reduce plastic waste. 
Our Eco-Refill Pouch reduces plastic waste up to 80%!

Make sure that you’re thinking about your plastic reduction! We are 💚

#earthday #earth #skincare #naturalskincare #plasticwaste ",ToddleBornWild,"earthday,earth,skincare,naturalskincare,plasticwaste",POSITIVE,optimism
18393,Happy 🌎 EarthDay - send Mother Earth some love by calling your Senator and telling them to pass $555 billion for climate. #30daysofclimate   #ClimateCrisis ,"theclimatevote,GhostPanther","EarthDay,30daysofclimate,ClimateCrisis",POSITIVE,joy
18415, Happy EarthDay 🌏🌅 ,soonthareeya,EarthDay,POSITIVE,joy
18420,"(2/2) The party for our planet doesn't end on EarthDay.🥳 Join us year-round for events that will teach you more about the Earth &amp; how to protect it, including classes on gardening, stargazing, butterflies, crabbing &amp; more. Find them all at 👩‍🌾✨🦋🦀",Uknown,EarthDay,POSITIVE,joy
18426,"Celebrate EarthDay with us at #FLStateParks! 🧡🌎 From ranger-led hikes to beach clean-ups, you’ll find events happening at many of our parks throughout the weekend at 🥾🌱🌊(1/2)

📍: Highlands Hammock State Park
#HighlandsHammock #TheRealFlorida ",Uknown,"EarthDay,FLStateParks,HighlandsHammock,TheRealFlorida",POSITIVE,joy
18455,"We appreciate all you do Mother Nature 🙏🏾🌍 🌳 🌷💐🌷🌹🌸🌺🌻🪴
Happy Earth Day 😊 
“Invest in Our Planet”

Everyone take a moment today to pause ⏸ and enjoy the beauty around you 😉

#happyearthday 
#InvestinOurPlanet ",Uknown,"happyearthday,InvestinOurPlanet",POSITIVE,joy
18469," Happy Earth Day 2022! This year its time to #InvestInOurPlanet 🌍🌳🌱

Find out more: 

#earthday #earthday2022 #investinourplanet2022 #evironment #sustainability #cimetchange #climateaction #evironmentalaction #actnow ",Act_on_energy,"InvestInOurPlanet,earthday,earthday2022,investinourplanet2022,evironment,sustainability,cimetchange,climateaction,evironmentalaction,actnow",POSITIVE,optimism
18494," Happy Earth Day🌎🍃

Then🤍                         Now🤍

#ShaheerSheikh ",AdmiringShaheer,ShaheerSheikh,POSITIVE,joy
18518,"The earth looks like this from our award winning conference venue. 

Using only green energy sources, the overall energy use of the  is less than 1kwh per visitor 😮. 

We’re so proud to use a forward thinking space to host our conference and guests. 

Happy EarthDay 🌎 ",BA_i360,EarthDay,POSITIVE,joy
18524," BNP Paribas spent $56bn financing companies expanding fossil fuels between 2016-2021.

This makes it the number 5 financier of fossil fuel expansion in the world 🌎  EarthDay #greenwashing  ",TBIJ,"EarthDay,greenwashing",NEGATIVE,optimism
18529,Reduce light pollution 💡 #LEED EarthDay  ,Uknown,"LEED,EarthDay",NEGATIVE,anger
18537," Happy Friday &amp; Happy Earth Day!🌳

I’m taking a moment to appreciate one of my favorite characters in the show, our beautiful homestead! So full of life and color! (Well… in the summertime😉) And the mountains surrounding it are the cherry on top! ♥️🏠
#WynonnaEarp ",rachlovesearp,WynonnaEarp,POSITIVE,joy
18564,"It's EarthDay. So, I guess, happy Earth Day. 😐",Uknown,EarthDay,POSITIVE,joy
18568,Happy EarthDay22 my beautiful friends. Sending much love and good energy to everyone who is reading this and of course intending that something amazing happens for you all today ❣🙏🏽✨🥰🤘🏽🌸🦋🌏🌐🌍🌎🌏 Remember peeps every day should be Earth day..let's love our planet more ❤ ,Uknown,EarthDay22,POSITIVE,joy
18572,"Happy Earth Day! 🌎 Learn more about how you can start living sustainably to help preserve our planet! 
#saveEarth EarthDay2022 #WorldEarthDay2022 #ClimateCrisis #LetTheEarthBreath #savetheplanet #InvestInOurPlanet #Sustainability #justgoodhuman ",Uknown,"saveEarth,EarthDay2022,WorldEarthDay2022,ClimateCrisis,LetTheEarthBreath,savetheplanet,InvestInOurPlanet,Sustainability,justgoodhuman",POSITIVE,optimism
18576," A few random shots over the last 3 years to commemorate EarthDay2022 

Really need to get back into taking photos, time slips way with a 3 month old and a 2 1/2 yr old😅

EarthDay EarthDay22 ",PeeDee_WxSC,"EarthDay2022,EarthDay,EarthDay22",NEGATIVE,joy
18594," Whether your home is Earth or Remnant, or anywhere, take care of it! 💙💚EarthDay2022 EarthDay #RWBY #ChibiCFVY ",AliAvian,"EarthDay2022,EarthDay,RWBY,ChibiCFVY",NEGATIVE,joy
18613,"Happy Earth Day 2022! This year its time to #InvestInOurPlanet 🌍🌳🌱

Find out more: 

#earthday #earthday2022 #investinourplanet2022 #evironment #sustainability #cimetchange #climateaction #evironmentalaction #actnow ",Uknown,"InvestInOurPlanet,earthday,earthday2022,investinourplanet2022,evironment,sustainability,cimetchange,climateaction,evironmentalaction,actnow",POSITIVE,optimism
18618," Today is EarthDay! What are you doing to reduce your carbon footprint?

Andy Warhol, ""Endangered Species: Pine Barrens Tree Frog"", 1983, © The Andy Warhol Foundation for the Visual Arts, Inc.

#AndyWarhol #warhol #art #frog ",TheWarholMuseum,"EarthDay,AndyWarhol,warhol,art,frog",NEGATIVE,joy
18624,"Make the 🌍 happy on #earthday 

Check out these ways to restore nature within your garden ➡️  ",Uknown,earthday,POSITIVE,joy
18625,"🌍 Happy Earth Day! 🌎

“A small change can make a big difference. You are the only one who can make our world a better place to inhabit. So, don’t be afraid to take a stand”

~Ankita Singhal

EarthDay22 #Earth #Sustainability #ecofriendly #ecosystem #change #makeachange ",Uknown,"EarthDay22,Earth,Sustainability,ecofriendly,ecosystem,change,makeachange",POSITIVE,optimism
18626,"#funkytownfitness
Happy Earth Day 🌳 
Half off Drop-In Fee for classes this weekend! Only $10 per class🌷
•••••••
Come try a class! 
.
.
.
.
.
#findyourgroove #earthday #fitness
#Funkytownfamily #fit #workoutwithus ",Uknown,"funkytownfitness,findyourgroove,earthday,fitness,Funkytownfamily,fit,workoutwithus",NEGATIVE,joy
18638," Happy Earth Day🌿🍃🍀🌱
EarthDay ",horcruxes_r,EarthDay,POSITIVE,joy
18641,Cheers! Happy EarthDay to you guys! 🍹 ,Uknown,EarthDay,POSITIVE,joy
18669,"  This brand is rated BEST for environmental reporting, and is a recommended brand, scoring 12.5 / 20 for overall ethics.

So we didn’t need to sniff out a more eco alternative. 🐶
EarthDay","Sploshtweet,EarthDay",EarthDay,POSITIVE,optimism
18672,"Today is EarthDay🌎. Every day, NISKAE helps its Customers to manage their water resources responsibly with our wastewater treatment and recycling equipment.
Discover our expertise at  ",Uknown,EarthDay,POSITIVE,optimism
18687, Bats are misunderstood and undervalued but with your help we can continue to win hearts and minds. Donate via  and your donation will be doubled thanks to the #GreenMatchFund  #BatsNeedFriends #lovebats ❤️🦇 EarthDay #InvestInOurPlanet ,"_BCT_,BigGive","GreenMatchFund,BatsNeedFriends,lovebats,EarthDay,InvestInOurPlanet",POSITIVE,optimism
18692," On this EarthDay Peoples(Celebrities, Government officials, Students, Children, Volunteers) from all over the world stood for what we stand on! Saving Soil is a generational responsibility. #MyConnectWithSoil

Here are just 4pics from various parts of TamilNadu..😍 #SaveSoil ",tweet_sakthi22,"EarthDay,MyConnectWithSoil,SaveSoil",NEGATIVE,joy
18697,What better way to celebrate EarthDay than with some amazing books! Here are some recent favorites that celebrate our planet 🌎🌱,Uknown,EarthDay,POSITIVE,joy
18728," 🌎Celebrate Earth Day as a family! Learn about seeds and how to care for a plant at our STEAM programming this week. Explore how our natural environment provides us and our animal neighbours with food, shelter, and fun! See you there!EarthDay2022 #londonchildrensmuseum #STEAM ",ldnchildmuseum,"EarthDay2022,londonchildrensmuseum,STEAM",POSITIVE,joy
18730," 🌍🧑🏼‍🤝‍🧑🏼🧑‍🤝‍🧑 Happy EarthDay 👫👫🏾🌍
The theme for EarthDay2022 is #InvestInOurPlanet! 
The key point here is to act in a bold way, innovate in a broad way, &amp;  implement in an equitable manner.

      ","BrittaTabrit,RobRobbEdwards,FinnWittrock,ClimateHuman,MikeHudema,GhostPanther,_AnimalAdvocate","EarthDay,EarthDay2022,InvestInOurPlanet",POSITIVE,optimism
18731, Happy Earth Day from the Bloomlite lab! 🌎🌱☀️ EarthDay ,bloomlite_,EarthDay,POSITIVE,joy
18737,"This EarthDay, check out the first-ever photo-based #NFT captured by an Astronaut and minted from Space. This historic photo captured by  Commander Michael López-Alegría (Ax-1) is up for auction. 
🌎📸 ",Axiom_Space,"EarthDay,NFT",POSITIVE,joy
18746," Save earth, save life.
🌎🌎
EarthDay",Deepakm56154500,EarthDay,POSITIVE,optimism
18757,"EarthDay 🌎🌏🌍
 
𝒲𝒉𝒂𝒕 𝒜 𝒲𝒐𝒏𝒅𝒆𝒓𝒇𝒖𝒍 𝒲𝒐𝒓𝒍𝒅
#official #musicvideo

#FlashbackFriday EarthDayEveryDay #indiemusic #IndieArtist #independentmusic #singersongwriter",SawyerFrdrx,"EarthDay,official,musicvideo,FlashbackFriday,EarthDayEveryDay,indiemusic,IndieArtist,independentmusic,singersongwriter",NEGATIVE,joy
18763, This EarthDay turn angst to action. Volunteer. Work. Support. Advocate. Learn &amp; Share. Here is an easy way to start. Share a vegetarian recipe with friends. Fewer meals with meat can lower your carbon &amp; water footprint🌎💜  ,"sofitukker,nature_org",EarthDay,NEGATIVE,optimism
18765,"“You cannot get through a single day without having an impact on the world around you. What you do makes a difference, and you have to decide what kind of difference you want to make.” —Jane Goodall 🌎🌿

#earthday2022 #earthday ",Uknown,"earthday2022,earthday",POSITIVE,optimism
18776,"Happy EarthDay, Big Blue! 🌎♻️💛

#BStateOnCampus ",Uknown,"EarthDay,BStateOnCampus",POSITIVE,joy
18777,"This year, EarthDay is all about investing in our planet. When you share Solar from 4/22 - 4/29 you will receive a $1500 referral bonus for everyone you refer, 3x the regular referral bonus! What better way to celebrate the Earth!🌎  
#happyEarthDay2022 ",Uknown,"EarthDay,happyEarthDay2022",POSITIVE,joy
18781,Happy EarthDay! Reminder to take care of our wonderful planet! 💖🌎 ,Uknown,EarthDay,POSITIVE,joy
18789,"Happy #Earthday from the #AO9 

🌱 #CleanNFT #Tezos 🌍🌏🌍 ",Uknown,"Earthday,AO9,CleanNFT,Tezos",POSITIVE,joy
18793," 🌎 It's EarthDay 🌍

Today and every day, let's take care of our planet to preserve it for our future generations!

Join the #eTwinning SENSE group and take part in sustainability education activities 👇


Let's teach green! 💚 ",eTwinningEurope,"EarthDay,eTwinning",POSITIVE,optimism
18795,"EarthDay #mess_txt #ClimateActionNow EarthDay2022 #TikTok
🎧Are you ready to join with me my music? 
Just take a look on my ""Tiny Live Show""Trailer🎞️🎙️available on My YouTube Channel. Enjoy!🎇🤗 ",Uknown,"EarthDay,mess,ClimateActionNow,EarthDay2022,TikTok",POSITIVE,joy
18801," Nature is painting for us, day after day, pictures of infinite beauty.
#JohnRuskin 
It’s never too late to celebrate the EarthDay and Happy EarthDay2022 to All #MedTwitter and Nature Lovers out there 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇧 ",CastlTrAstonDrs,"JohnRuskin,EarthDay,EarthDay2022,MedTwitter",POSITIVE,joy
18820,Adorable 💖  Thank you for Your support 💯🙏🏻💐 #SaveSoil  EarthDay #Earthday2022 #ConsciousPlanet #JourneyForSoil #100DaysForSoil #MyConnectWithSoil ,iam_juhi,"SaveSoil,EarthDay,Earthday2022,ConsciousPlanet,JourneyForSoil,100DaysForSoil,MyConnectWithSoil",POSITIVE,joy
18842,"🌎Reuse, Reduce, Recycle, React, and Resolve. Do you 5 R's and make this earth evolve.

🌱A reminder from 7104 Residential powered by Keller Williams. Here, we give importance to nature as we give importance to human lives. 

EarthDay ",Uknown,EarthDay,POSITIVE,optimism
18847, Happy Earth Day Everyone.  Some tips included on how to celebrate 🍾 the event.  #Eathday2022    #loveadare #SDGs ,"adaretidytowns,LimerickEnviron,LimerickCouncil,TidyTownsIre","Eathday2022,loveadare,SDGs",POSITIVE,joy
18856,"Don't wait for others to save the earth, it all could start right from you! Happy Earth Day 2022! Let's love the earth with all of our might! 
EarthDay2022 🌎
#HappyEarthDay2022
#BeKindToOurEarth ",Uknown,"EarthDay2022,HappyEarthDay2022,BeKindToOurEarth",POSITIVE,optimism
18861,"This #Earthday, we are proud to announce our continued partnership with the  #ArborDay Foundation. As part of our “Do a Deal, Plant a Tree” campaign in 2021, Lee &amp; Associates helped plant over 10,000 trees! 🌍🌳🐝
 #leeassociates ",Uknown,"Earthday,ArborDay,leeassociates",POSITIVE,joy
18865,"EarthDay is best understood in this way. The Democratic Party has expanded oil drilling to historical levels. They partner with oil, coal and lumber companies to monopolize political control. Ask a dem, they are the heroes and republicans are evil. Enjoy your Kool Aid! 🌊 Maga.. ",Uknown,EarthDay,POSITIVE,anger
18867, Read our full EarthDay 🌎 interview with  on the El Paso Climate Charter: ,"TFN,miranda_lefts",EarthDay,NEGATIVE,optimism
18870," 🌍Changeworks is helping to drive Scotland towards its 2045 net zero target.

🌍This can only happen if we all take action to lower our carbon footprint in and out of the home. 

🌍The climate emergency is real and now. 

🌍We ask you to make every day EarthDay. Not just today. ",ChangeworksUK,EarthDay,POSITIVE,optimism
18872,"Happy EarthDay 🌍

Spend today - or everyday, like we do! - admiring the beautiful countryside we have all around us 🌿

…And Flower Farm is quite the place to admire isn’t it! 😍 ",Uknown,EarthDay,POSITIVE,joy
18876," I’m partnership with , we’re planting one million trees by 2025. Help us in choosing where we should plant trees next? EarthDay 🗳 🌲 🌍","ClifBar,AmericanForests",EarthDay,NEGATIVE,optimism
18886,"Happy Earth Day! 🌎  We're all in this together. EarthDay 

Donate your vehicle to charity.
#saveourplanet #savetheplanet #loveearth #happyearthday #saveearth #earthdayeveryday #earthday2022 #happyearthday  #protectourearth #donateyourcar #charity ",Uknown,"EarthDay,saveourplanet,savetheplanet,loveearth,happyearthday,saveearth,earthdayeveryday,earthday2022,happyearthday,protectourearth,donateyourcar,charity",POSITIVE,joy
18900,"Such good words!
“We need joy as we need air. We need love as we need water. We need each other as we need the earth we share.” #MayaAngelou 🌎 Happy Earth Day! ",Uknown,MayaAngelou,POSITIVE,joy
18907,"On Earth Day, here goes the SaveSoil campaign with a new Earth Buddy that I made today-Sundari🥰. 
Together let's make it happen🌱
#SaveSoil
#SadhguruJV 
#ConsciousPlanet ",Uknown,"SaveSoil,SadhguruJV,ConsciousPlanet",POSITIVE,joy
18908,Here's a little cuckoo flower from my EarthDay lunch walk. 🥰 The sun is shining and the flowers are out. Feeling incredibly positive today! ,Uknown,EarthDay,POSITIVE,joy
18913,Using our hands and hearts to help the 🌏 ♥️#earthday  #tcdsb  #kinderart ,"tcdsb,johnboscotcdsb","earthday,tcdsb,kinderart",NEGATIVE,joy
18915,🌸🌼 What can you do to reduce stress on a beautiful Friday afternoon towards the end of the semester? Take a walk on 's beautiful campus during lunchtime! 🌸🌼 Get a fresh perspective on 🌎EarthDay!  ,"NCState,NCStateOFE",EarthDay,POSITIVE,joy
18917," Gm and happy Earth Day! ✨💛🌎
 EarthDay #WomenInNFTs ","NadiasStudio,opensea","EarthDay,WomenInNFTs",POSITIVE,joy
18923,"Happy earth day 🌱
My Drawfast ( drawing fast)  earth kun. I Hope you like it 🙏
.
EarthDay EarthDay2022 #art #drawing #draw #drawinganime ",Uknown,"EarthDay,EarthDay2022,art,drawing,draw,drawinganime",POSITIVE,joy
18935," Happy Earth Day! National Grid is at the heart of the clean energy transition, delivering the energy that powers the lives of millions of people in the Northeast. 🌎  #InvestInOurPlanet EarthDay 

Learn about our Clean Energy Vision:  ",nationalgridus,"InvestInOurPlanet,EarthDay",POSITIVE,optimism
18940,"A prayer from a Water Ceremony I did in 2018 at the Patuxent River 
Happy Earth Day! 🌎 #earthday #earthday2022 #waterislife #protectthesacred #afroindigenous #afro #motherearth #honoroursacredrivers #love ",Uknown,"earthday,earthday2022,waterislife,protectthesacred,afroindigenous,afro,motherearth,honoroursacredrivers,love",POSITIVE,joy
18947," Happy EarthDay! #RepresentationMatters everyone, including in the climate space. I’m so glad I could have this conversation with  about #storytelling, it’s links to #climatejustice, my work  and my story. 🌎🌳✌🏾","MattScottGW,LGR_NinaSimonds,ProjectDrawdown","EarthDay,RepresentationMatters,storytelling,climatejustice",POSITIVE,joy
18964,"So proud to have worked on a six page EarthDay special edition spread illustrated by  🎉 for , the largest Spanish-language newspaper in the US &amp; the second-most read newspaper in LA. 

Feliz #DiaDeLaTierra2022 ","laloalcaraz,laopinion","EarthDay,DiaDeLaTierra2022",POSITIVE,joy
18966,"Happy EarthDay, from all of us at Acura of Pembroke Pines! 🌍 ",Uknown,EarthDay,POSITIVE,joy
18970, Happy EarthDay 2022 🌳🌎 ,travelnursejobs,EarthDay,NEGATIVE,joy
18977,"🌏 HAPPY EARTH DAY! Let's show our planet some love by making small changes that make a big impact.

CISD takes a stance for sustainability. Learn about how our district has cultivated conservation efforts.

➡️ 

#BeCanutillo #PremierDistrict ",Uknown,"BeCanutillo,PremierDistrict",POSITIVE,optimism
18983," 🌎 Iron Software believes EVERY DAY is EARTH DAY!

For EVERY IRON SUITE purchase, IRON donates $50 to #teamseas

📢 We are also giving away FREE #teamseas T-Shirts TODAY!



EarthDay #TeamSeas #csharp #software #dotnet ",ironsoftwaredev,"teamseas,teamseas,EarthDay,TeamSeas,csharp,software,dotnet",NEGATIVE,joy
18996,"The Earth is what we all have in common! 🌍
We celebrate EarthDay with a wonderful day out to #SouthDownsNationalPark where our #TravelandTourism students investigated the appeal that nature has on tourists. 🌲🌳🏕 
What a glorious day!  #daytrip #nature #earth ",sdnpa,"EarthDay,SouthDownsNationalPark,TravelandTourism,daytrip,nature,earth",POSITIVE,joy
18999,"It’s EarthDay and while we’re all stuck inside scrolling, building, and creating there’s a whole world out there that we shouldn’t forget about. 

Take a break. Go outside. Be thankful for the little nature left. 🌍💙

#NFTCommunity #Web3",Uknown,"EarthDay,NFTCommunity,Web3",POSITIVE,optimism
19002," 🍁Today we celebrate Earth Day &amp; the  with Wáhta and the Anishinabek and Haudenosaunee  teachings.🍁

YouTube📽️
Teachings➡️

  
  
#SciRen #OdySci #queensu ","STEMygk,MillTreeProject,NSERC_CRSNG,Sci_Od,sci_rendezvous,Canada2UNESCO,TreeCanada","SciRen,OdySci,queensu",NEGATIVE,joy
19016," Happy earth day, shot on various 120 film stocks 🌎🌲⛰ #mamiya7 ",jacobetovar,mamiya7,POSITIVE,joy
19023," 🌲Earth Day is here! Celebrate with us! Enter to win free Yeelight Smart Bulb W3 (4 Packs): 
Get your 15% off site-wide discount by code EARTHDAY (US Official Store)! Choose your lights here: 

 #Giveaway #YeelightEarthDaySpecialOffer ",Yeelight,"Giveaway,YeelightEarthDaySpecialOffer",NEGATIVE,joy
19030,"Reduce #FossilFuels dependence and create life and a safer local energy supply! #ClimateCrisis!

Please join! twiff All Activists Awesome work!

❤️🇺🇦🇾🇪☮️🌍🌏🌎🌳🌱🌿🌺🌼🏵️🌻🌞🦋

Getting you on the #FridaysForFuture.org/map



#Twiff, 1, EarthDay, Bangladesh ",FFFMapCount,"FossilFuels,ClimateCrisis,FridaysForFuture,Twiff,EarthDay",POSITIVE,optimism
19037," There is no better time  to ""Invest in our Planet"", for International Earth Day🌎. NASA🚀 and the Earth Day network are hosting online events at  or  #earthday2022 #saveourplanet #happyearthday🌎 #loveearth #happyearthday🌎 ",kiersmarketing,"earthday2022,saveourplanet,happyearthday,loveearth,happyearthday",NEGATIVE,joy
19039, Happy #Earth Day frens 🌍,Bybit_Official,Earth,POSITIVE,joy
19045," 𝑪𝒆𝒍𝒆𝒃𝒓𝒂𝒕𝒆 𝑬𝒂𝒓𝒕𝒉 𝑫𝒂𝒚 𝑬𝒗𝒆𝒓𝒚 𝑫𝒂𝒚 🌎

It is our collective responsibility to invest in our planet. 
It all starts at home.

Celebrate EarthDay every day by practicing 3Rs - Reduce, Reuse, Recycle.

#TayoAngKalikasan 
#InvestInOurPlanet ",DENROfficial,"EarthDay,TayoAngKalikasan,InvestInOurPlanet",POSITIVE,optimism
19049," Happy EarthDay friends! 🌱 
Remember to ask uncomfortable questions on why your government, company or organisation isn't doing more for sustainability today!
Individual action is good but large-scale systematic changes are better 💅",SaraEBergman,EarthDay,POSITIVE,optimism
19088," People bathe and wash clothes near the heavily polluted Mahim Beach in Mumbai, India, 22 April 2022. Earth Day is celebrated every year on 22 April to raise awareness on environmental protection.   📸 epa / Divyakant Solanki 

#India #Mumbai EarthDay #epaimages ",epaphotos,"India,Mumbai,EarthDay,epaimages",NEGATIVE,optimism
19102,"Happy EarthDay folks🌎

Join us at 2 pm (AST) this afternoon for an activity-packed event:
 ",Uknown,EarthDay,POSITIVE,joy
19105,"“What you do makes a difference, and you have to decide what kind of difference you want to make”-Jane Goodall 

Every day we decide to take action &amp; do what we can to protect our precious planet🌎 Celebrating EarthDay today &amp; every day!💙♻️🤍

#InvestInOurPlanet  ",BectonHS,"EarthDay,InvestInOurPlanet",POSITIVE,optimism
19109," Happy EarthDay 🌎 Today and everyday, let’s celebrate, cherish, and protect the wonderful place we call home. 🌱 ",iava,EarthDay,POSITIVE,joy
19114,"On EarthDay 🌎and throughout the year, our team of #engineers, #architects, #planners and #designers works to create more #sustainable, #EnergyEfficient and #resilient communities to live and work.",Uknown,"EarthDay,engineers,architects,planners,designers,sustainable,EnergyEfficient,resilient",POSITIVE,optimism
19131," Remember, ""don't lose it, reuse it!""
-Rocky
#happyEarthDay2022 
EarthDay
🌍♻️🌿 ",ThatMaverickPup,"happyEarthDay2022,EarthDay",NEGATIVE,joy
19133,Happy EarthDay 🌱🌏🌎🌍🌲 ,Uknown,EarthDay,POSITIVE,joy
19137," Yet another conservation horror ⚠️  150,000 Maasai in Tanzania are threatened with eviction.
If plans to turn 30% of the world into Protected Areas go ahead, we’ll see many more land grabs on this scale.
#DecolonizeConservation EarthDay

 ","Survival,FCDOGovUK,UNESCO","DecolonizeConservation,EarthDay",NEGATIVE,anger
19156,"Happy Earth Day! Here are a couple of ways to reduce your carbon footprint: 
♻️reusable straw
♻️reusable coffee mug 
♻️reusable water bottle
♻️LED light bulbs
♻️reusable grocery bags
♻️reusable utensils 
♻️bamboo toothbrush

EarthDay ",Uknown,EarthDay,NEGATIVE,optimism
